
cluster: 2 	 Sillhoute: 0.0048
cluster: 3 	 Sillhoute: 0.0059
cluster: 4 	 Sillhoute: 0.0068
cluster: 5 	 Sillhoute: 0.0074
cluster: 6 	 Sillhoute: 0.0037
cluster: 7 	 Sillhoute: 0.0042
cluster: 8 	 Sillhoute: 0.0047
cluster: 9 	 Sillhoute: 0.0052
cluster: 10 	 Sillhoute: 0.0054
cluster: 11 	 Sillhoute: 0.0057
cluster: 12 	 Sillhoute: 0.0062
cluster: 13 	 Sillhoute: 0.0065
cluster: 14 	 Sillhoute: 0.0063
cluster: 15 	 Sillhoute: 0.0071
cluster: 16 	 Sillhoute: 0.0074
cluster: 17 	 Sillhoute: 0.0063
cluster: 18 	 Sillhoute: 0.0071
cluster: 19 	 Sillhoute: 0.0070
cluster: 20 	 Sillhoute: 0.0070
cluster: 21 	 Sillhoute: 0.0073
Silhouette score is 0.007441201552835128
